Mun Nombre,Mun Id,coordenadas_colombia.latitud,coordenadas_colombia.longitud
LEJANIAS,50400,3.5136111,'-74.0516667
LENGUAZAQUE,25407,5.3333333,'-73.6666667
LERIDA,73408,4.9166667,'-74.9166667
LETICIA,91001,'-4.2152778,'-69.9405556
LIBANO,73411,4.9166667,'-75.1666667
LIBORINA,5411,6.75,'-75.75
LINARES,52411,1.3833333,'-77.45
LORICA,23417,9.1666667,'-75.8333333
LOS ANDES,52418,1.5155556,'-77.495
LOS CORDOBAS,23419,8.9,'-76.3597222
LOS PALMITOS,70418,9.3811111,'-75.2713889
LOS PATIOS,54405,7.8383333,'-72.5133333
LOS SANTOS,68418,6.9166667,'-73.0833333
LOURDES,54418,7.9666667,'-72.8333333
LURUACO,8421,10.6141667,'-75.1461111
MACANAL,15425,4.9166667,'-73.25
MACARAVITA,68425,6.5833333,'-72.5333333
MACEO,5425,6.5,'-74.75
MACHETA,25426,5.0833333,'-73.6166667
MADRID,25430,4.8333333,'-74.3
MAGANGUE,13430,9.2413889,'-74.7533333
MAGUI,52427,1.9166667,'-77.8333333
MAHATES,13433,10.1666667,'-75.1666667
MAICAO,44430,11.3841667,'-72.2441667
MAJAGUAL,70429,8.5,'-74.6666667
MALAGA,68432,6.7833333,'-72.6666667
MALAMBO,8433,10.8588889,'-74.7730556
MALLAMA,52435,1.0833333,'-77.8166667
MANATI,8436,10.5,'-75.0
MANAURE,20443,10.3927778,'-73.0325
MANAURE,44560,11.7791667,'-72.4494444
MANI,85139,4.8333333,'-72.3333333
MANIZALES,17001,5.07,'-75.5205556
MANTA,25436,5.0833333,'-73.5833333
MANZANARES,17433,5.25,'-75.1666667
MAPIRIPAN,50325,2.8911111,'-72.1322222
MARGARITA,13440,9.0833333,'-74.2
MARIA LA BAJA,13442,10,'-75.3333333
MARINILLA,5440,6.2,'-75.3
MARIPI,15442,5.5833333,'-74.0
MARIQUITA,73443,5.25,'-74.9166667
MARMATO,17442,5.5,'-75.5833333
MARQUETALIA,17444,5.3333333,'-75.0
MARSELLA,66440,4.9166667,'-75.75
MARULANDA,17446,5.3333333,'-75.25
MATANZA,68444,7.4166667,'-73.0833333
MEDELLIN,5001,6.2913889,'-75.5361111
MEDINA,25438,4.5,'-73.3333333
MEDIO ATRATO,27425,"",""
MEDIO SAN JUAN,27450,5.1,'-76.683
MELGAR,73449,4.25,'-74.5833333
MERCADERES,19450,1.75,'-77.1666667
MESETAS,50330,3.3780556,'-74.0447222
MILAN,18460,1.3483333,'-75.5116667
MIRAFLORES,15455,5.25,'-73.1666667
MIRAFLORES,95200,1.3366667,'-71.9511111
MIRANDA,19455,3.25,'-76.25
MISTRATO,66456,5.4166667,'-76.0
MITU,97001,1.1983333,'-70.1733333
MOCOA,86001,1.1488889,'-76.6477778
MOGOTES,68464,6.5833333,'-72.9166667
MOLAGAVITA,68468,6.75,'-72.75
MOMIL,23464,9.2372222,'-75.6780556
MOMPOS,13468,9.25,'-74.5833333
MONGUA,15464,5.8333333,'-72.6666667
MONGUI,15466,5.75,'-72.8333333
MONIQUIRA,15469,5.9166667,'-73.5
MONTEBELLO,5467,5.9166667,'-75.5
MONTECRISTO,13458,8.2994444,'-74.4755556
MONTELIBANO,23466,7.75,'-75.6666667
MONTENEGRO,63470,4.5,'-75.8
MONTERREY,85162,4.9166667,'-72.8333333
MOÑITOS,23500,8.25,'-76.05
MORALES,13473,8.4166667,'-74.0
MORALES,19473,2.8,'-76.6666667
MORELIA,18479,1.4875,'-75.725
MORROA,70473,9.4166667,'-75.3333333
MOSQUERA,25473,4.75,'-74.3333333
MOTAVITA,15476,5.5797222,'-73.3713889
MURILLO,73461,4.8769444,'-75.1738889
MUTATA,5480,7.3333333,'-76.5
MUTISCUA,54480,7.3333333,'-72.7166667
MUZO,15480,5.5166667,'-74.1166667
NARIÑO,25483,4.45,'-74.8
NARIÑO,52480,1.5,'-78.0
NARIÑO,5483,5.6,'-75.1666667
NATAGA,41483,2.65,'-75.8
NATAGAIMA,73483,3.5833333,'-75.0833333
NECHI,5495,8.0963889,'-74.7758333
NECOCLI,5490,8.4238889,'-76.7911111
NEIRA,17486,5.1666667,'-75.5
